"Scientific.Name","NAMES.FROM.FISHBASE","EXPERT.NAME","X","cat","dan","deu","ell","eng","fra","gla","gle","ita","nld","nno","nob","por","spa","sqi","swe","ces","cym","fin","hun","mkd","mlt","pol","ron","slv","srp","tur","bre","heb","nor","rus","ukr","ara","eus","hrv","lit","jpn","vie","isl","cos","glg","oci","sme","bul","slk","wol","NA","tah","afr","fij","kor","msa","sin","smo","som","tam","tgl","zho"
"Aequipecten opercularis","N/A",NA,"","xel","Almindelig kammusling","Bunte Kammmuschel","Χτένι","Queen Scallop","olivette","creachain bhanrigh","cloisin","canestrello","kammossel","harpeskjel","harpeskjell","vieira","volandeira","freskorja e mbretëreshës","hoppkammussla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anguilla anguilla","Aal, Blankaal, Europ�ischer Aal, Flussaal, Gelbaal",NA,"",NA,"Europæisk ferskvandsål","Aal",NA,"Broad-nosed Eel","Anguielo",NA,"An eascann","Anguilla","Aal",NA,NA,"Eiró","Anguila","Ngjala","Europeisk ål","Uhor rícní","Llysywod","Ankerias","Angolna","Jagula","Sallura","Wegorz","Anghila","Jegula","Jegulja","Yilan baligi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arca noae","N/A",NA,"","peu de cabrit",NA,"Arche Noah","Καλόγνωμη","Noah's arch","arche de Noe",NA,NA,"arca di Noè",NA,NA,NA,NA,"arca de Noé","midhja varkë e noes",NA,NA,NA,NA,NA,NA,NA,"arka Noego",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus laterna","Lammzunge",NA,"Fish4life",NA,"Almindelig tungehvarre","Lammzunge","Αρνοζαγκέτα","Mediterranean scaldfish","Arnoglosse lanterne",NA,NA,"Suacia","Schurftvis","tungevar","tungevar","Carta","Peluda","Gjuze toke","Tungevar",NA,"Lledod Chwith Bach","Suomukampela",NA,NA,"Ingwata lixxa","Arnogolsa laterna",NA,"Patarača","Pataraca","Dil baligi","teod kask","גילדי","Glassvar","Арноглосс европейский","Арноглос європейський",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnoglossus thori","Schorrfisch, Thor-butt",NA,"Fish4life",NA,NA,NA,"Zageta Rypel","Grohmann's scaldfish","Arnoglosse Tacheté",NA,NA,"Pansona",NA,NA,NA,"Carta-pontuada","Peluda","Gjuze e eger",NA,NA,"Lledod Thor",NA,NA,NA,"Lingwata tax-xulliefa","Arnoglosa trepa",NA,NA,NA,"Dil baliği",NA,"גילדי",NA,"Арноглосс пелудилья","Арноглос пелудилья",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atherina boyeri","Kleiner �hrenfisch, Rundkopf-�hrenfisch",NA,"Fish4life","Jovell","Lille Stribefisk","Boyers Ährenfisch","Αθερίνα","Big-eyed Sand-smelt","Athérine",NA,NA,"Latterino","Kleine koornaarvis",NA,NA,"Peixe-rei do Mediterrâneo","Pejerrey","Aterina symadhe",NA,NA,"Pysgod Ystlys-Arian Cennog",NA,NA,NA,"Kurunella","Aterynka czarnomorska","Aterina","mali gavun","Gavun","Gumus",NA,"אדרון דק",NA,"Атерина коричневая","Атерина коричнева","حُساس متوسّطيّ","Abixoi txikia","Oliga","kaspijinė aterina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Auxis rochei","Fregattenmakrele, Fregattmakrele, Unechter Bonito",NA,"Fish4life","baldufa","Bredskællet fregatmakrel","Fregattmakrele","Kopani","Bonito","Auxide",NA,NA,"tombarello","boniet","auxid","auxid","Bonito-cachorro","Barrilete Negro","Skumbriya","auxid",NA,"Mecryll Roche",NA,NA,NA,"Bizu","Tazar",NA,NA,NA,"Gobene baliği",NA,NA,NA,"Скумбревидный тунец",NA,"Matseti",NA,NA,NA,"Dainanpo","Cá ngừ o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbatia barbata","N/A",NA,"",NA,NA,"Bärtige Archenmuschel","Αγριόμυδο","bearded ark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belone belone","Gemeiner Hornhecht, Gew�hnlicher Hornhecht, Gr�nknochen, Hornfisch, Hornhecht, Schneefell, Sturmfisch",NA,"Fish4life","agulla","Almindelig hornfisk","Grünknochen","Ζαργάνα","Garfish, Garpike","Orphie",NA,NA,"aguglia","geep","horngjel","horngjel","agulha","aguja","peshku lejlek","hornfisk",NA,"cornbig","nokkahauki",NA,NA,NA,"belona",NA,"íglica",NA,"zargana","jvinek","שיפודן מובהק","horngjel","sargan",NA,NA,"orratza","iglica",NA,NA,NA,"hornfiskur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolinus brandaris","Brandhorn, Herkuleskeule",NA,"",NA,NA,"Brandhorn","Αγκαθωτός στρόμπος","dye murex","Murex épineux, Murex-droite épine, Rocher massue",NA,NA,NA,"brandhoren",NA,NA,"buzio","canadilla","kërmilli topuz gjëmbor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boops boops","Gelbstrieme, Gelbstriemen, Bl�ker",NA,"Fish4life","boga","Okseøjefisk","Gelbstrieme","Γόπα","Bogue","Bogue",NA,NA,"Boga","Bokvis","okseaugefisk","okseøyefisk","Boga","Boga","Vopa","Oxögonfisk",NA,"Pysgod Llygad-Llo","Boga",NA,NA,"Vopa","Bops","Gupa","Bukva","Bukva","Kupes","bog","גובוס גלילי","Okseøyefisk","Бопс полосатый","Бопс смугастий",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothus podas","Butt, Flunder, Sandbutt, Weitaugenbutt",NA,"Fish4life","pedaç","bredøjet hvarre","Butt","pissi","Wide-eyed flounder","Rombou",NA,NA,"Pettinu","gevlekte dwergtarbot",NA,NA,"Careta","Padas","Shkoter kukuvajke",NA,NA,NA,NA,NA,NA,"Barbun ghajnejh imbeghda","skarp śródziemnomorski",NA,NA,NA,"pisi baligi",NA,"סנדל פזלן",NA,NA,NA,NA,NA,"razok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callista chione","N/A",NA,"","lluenta",NA,"Glatte Venusmuschel","Γυαλιστερή","Smooth Venus","grande palourde",NA,NA,"fasolara","Amerikaanse venusschelp",NA,NA,"concha chione","almejón","flegërtrasha e lëmuar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campogramma glaycos","Gabelmakrele, Gestreifte Makrele, Lichia",NA,"",NA,NA,"Gabelmakrele","Λέτσα","Big-toothed Pompano","Lezia",NA,NA,"Cerviola imperiali","vadigo",NA,NA,"Enxareu-palheta","Caballo",NA,NA,NA,NA,NA,NA,NA,"Cervjola","Lichia","Lichie",NA,"Bilizma","ciplak baligi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carcharinus plumbeus","Braunhai, Gro�flossenhai, Sandbankhai",NA,"","ca marí",NA,"Grauhai","Τεφρός καρχαρίνος","Sandbar shark","Requin gris",NA,NA,"Squalo grigio","grootvinhaai",NA,NA,"Tubarão-corre-costa","Tiburón de Milberto","Peshkagen i hirte","högfenad haj",NA,NA,NA,NA,NA,NA,"żarłacz brunatny",NA,"sivi morski pes","Pas sivonja","buyuk camgoz",NA,"כריש סנפירתן",NA,NA,"Акула сіра піщана","قرش طهر",NA,NA,"mažasis melsvasis ryklys","メジロザメ／ヤジブカ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastoderma glaucum","Brackwasser Herzmuschel, Brackwassermuschel, Gew�hnliche Herzmuschel, Lagunen-Herzmuschel",NA,"",NA,"Brakvands-hjertemusling","Brackwasser Herzmuschel","Πουρλίδα","Lagoon Cockle","coque",NA,NA,NA,"brakwaterkokkel",NA,NA,NA,NA,"midhja zemër e lagunave","skev hjärtmussla",NA,NA,"idänsydänsimpukka",NA,NA,NA,"sercówka bałtycka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
