Scientific Name,NAMES FROM FISHBASE,EXPERT NAME,
Aequipecten opercularis,N/A,,
Anguilla anguilla,"Aal, Blankaal, Europäischer Aal, Flussaal, Gelbaal",,
Arca noae,N/A,,
Arnoglossus laterna,Lammzunge,,Fish4life
Arnoglossus thori,"Schorrfisch, Thor-butt",,Fish4life
Atherina boyeri,"Kleiner Ährenfisch, Rundkopf-Ährenfisch",,Fish4life
Auxis rochei,"Fregattenmakrele, Fregattmakrele, Unechter Bonito",,Fish4life
Barbatia barbata,N/A,,
Belone belone,"Gemeiner Hornhecht, Gewöhnlicher Hornhecht, Grünknochen, Hornfisch, Hornhecht, Schneefell, Sturmfisch",,Fish4life
Bolinus brandaris,"Brandhorn, Herkuleskeule",,
Boops boops,"Gelbstrieme, Gelbstriemen, Blöker",,Fish4life
Bothus podas,"Butt, Flunder, Sandbutt, Weitaugenbutt",,Fish4life
Callista chione,N/A,,
Campogramma glaycos,"Gabelmakrele, Gestreifte Makrele, Lichia",,
Carcharinus plumbeus,"Braunhai, Großflossenhai, Sandbankhai",,
Cerastoderma glaucum,"Brackwasser Herzmuschel, Brackwassermuschel, Gewöhnliche Herzmuschel, Lagunen-Herzmuschel",,
Cetorhinus maximus,"Mandelhai, Reuzenhai, Riesenhai",,
Chamellea gallina,N/A,,
Dentex dentex,Zahnbrasse,,
Dentex gibbosus,Dickkopf-Zahnbrasse,,Fish4life
Dentex macrophthalmus,"Großaugen-Zahnbrasse, Großaugenzahnbrasse",,Fish4life
Dicentrarchus labrax,"Gemeiner Seebarsch, Gemeiner Wolfsbarsch, Meerbarsch, Salmbarsch, Seebarsch, Seewolf, Wolfsbarsch",,Fish4life
Diplodus annularis,Ringelbrasse,,Fish4life
Diplodus puntazzo,Spitzbrasse,,Fish4life
Diplodus sargus,"Bindenbrasse, Geißbrasse",,Fish4life
Diplodus vulgaris,"Gemeiner Geißbrassen,Zweibindenbrasse",,Fish4life
Donax trunculus,N/A,,
Dosinia exoleta,Artemismuschel,,
Engraulis encrasicolus,"Anchovis, Europäische Sardelle, Sardelle",,Fish4life
Epinephelus aeneus,Weißer Zackenbarsch,,Fish4life
Epinephelus caninus,Hundezahn-Zackenbarsch,,
Epinephelus costae,"Alexanderbarsch, Gestreifter Zackenbarsch",,Fish4life
Epinephelus marginatus,"Brauner Zackenbarsch, Brauner Zackenbarsch, Großer Sägebarsch, Riesen-Zackenbarsch, Riesen-Zackenbarsch.",,Fish4life
Euthynnus alletteratus,"Falscher Bonito, Kleiner Thun, Thonine",,Fish4life
Flexopecten glaber,N/A,,
Galeorhinus galeus,"Australischer Hundshai, Beithai, Gemeine Meersau, Großer Hundshai, Schulhai",,
Gari depressa,N/A,,
Haliotis tuberculata,"Gemeines Seeohr, Grünes Seeohr, Seeohr",,
Heptranchias perlo,"Aschfarbener Siebenspalthai, Kammzähner, Perlon, Siebenkiemiger Kammzähner, Spitzkopf-Siebenkiemenhai, Spitzkopfsiebenkiemer",,
Homarus gammarus,N/A,,Fish4life
Lamna nasus,Heringshai,,Fish4life
Lithognathus mormyrus,Marmorbrasse,,Fish4life
Lithophaga lithophaga,"Dattelmuschel, Seedattel, Steindattel",,
