"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index"
2285838,"Aequipecten opercularis (Linnaeus, 1758)","Aequipecten opercularis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Pectinida","Pectinidae","Aequipecten","Aequipecten opercularis",1,52,137,9250425,3472,2285834,2285838,"Bivalvia",NA,NA,"Aequipecten opercularis",1
5212973,"Anguilla anguilla (Linnaeus, 1758)","Anguilla anguilla","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla",1,44,NA,495,2949,2403092,5212973,NA,NA,NA,"Anguilla anguilla",2
4373199,"Arca noae Linnaeus, 1758","Arca noae","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Arcida","Arcidae","Arca","Arca noae",1,52,137,9574493,3483,2286209,4373199,"Bivalvia",NA,NA,"Arca noae",3
2408554,"Arnoglossus laterna (Walbaum, 1792)","Arnoglossus laterna","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Pleuronectiformes","Bothidae","Arnoglossus","Arnoglossus laterna",1,44,NA,588,8608,2408505,2408554,NA,NA,NA,"Arnoglossus laterna",4
2408543,"Arnoglossus thori Kyle, 1913","Arnoglossus thori","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Pleuronectiformes","Bothidae","Arnoglossus","Arnoglossus thori",1,44,NA,588,8608,2408505,2408543,NA,NA,NA,"Arnoglossus thori",5
2411944,"Atherina boyeri Risso, 1810","Atherina boyeri","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Atheriniformes","Atherinidae","Atherina","Atherina boyeri",1,44,NA,496,7172,2348168,2411944,NA,NA,NA,"Atherina boyeri",6
4286088,"Auxis rochei (Risso, 1810)","Auxis rochei","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Scombridae","Auxis","Auxis rochei",1,44,NA,587,8596,2374231,4286088,NA,NA,NA,"Auxis rochei",7
4373234,"Barbatia barbata (Linnaeus, 1758)","Barbatia barbata","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Arcida","Arcidae","Barbatia","Barbatia barbata",1,52,137,9574493,3483,2286193,4373234,"Bivalvia",NA,NA,"Barbatia barbata",8
2369178,"Belone belone (Linnaeus, 1760)","Belone belone","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Beloniformes","Belonidae","Belone","Belone belone",1,44,NA,498,7190,2369177,2369178,NA,NA,NA,"Belone belone",9
4366020,"Bolinus brandaris (Linnaeus, 1758)","Bolinus brandaris","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Neogastropoda","Muricidae","Bolinus","Bolinus brandaris",1,52,225,982,2304120,4366019,4366020,"Gastropoda",NA,NA,"Bolinus brandaris",10
5210955,"Boops boops (Linnaeus, 1758)","Boops boops","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Boops","Boops boops",1,44,NA,587,5068,2375084,5210955,NA,NA,NA,"Boops boops",11
5213852,"Bothus podas (Delaroche, 1809)","Bothus podas","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus podas",1,44,NA,588,8608,2408619,5213852,NA,NA,NA,"Bothus podas",12
5189285,"Callista chione (Linnaeus, 1758)","Callista chione","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Venerida","Veneridae","Callista","Callista chione",1,52,137,9310756,3445,2287640,5189285,"Bivalvia",NA,NA,"Callista chione",13
2390739,"Campogramma glaycos (Lacepède, 1801)","Campogramma glaycos","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Carangidae","Campogramma","Campogramma glaycos",1,44,NA,587,4253,2390738,2390739,NA,NA,NA,"Campogramma glaycos",14
2418016,"Carcharinus plumbeus (Nardo, 1827)","Carcharinus plumbeus","SPECIES","SYNONYM",98,"EXACT","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus plumbeus",1,44,121,887,2211,2417963,2418009,"Elasmobranchii",2418009,NA,"Carcharinus plumbeus",15
2286585,"Cerastoderma glaucum (Bruguière, 1789)","Cerastoderma glaucum","SPECIES","ACCEPTED",97,"EXACT","Animalia","Mollusca","Cardiida","Cardiidae","Cerastoderma","Cerastoderma glaucum",1,52,137,9529005,6858,2286580,2286585,"Bivalvia",NA,NA,"Cerastoderma glaucum",16
2420726,"Cetorhinus maximus (Gunnerus, 1765)","Cetorhinus maximus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus",1,44,121,885,5889,2420725,2420726,"Elasmobranchii",NA,NA,"Cetorhinus maximus",17
2287705,"Chamelea gallina (Linnaeus, 1758)","Chamelea gallina","SPECIES","ACCEPTED",85,"FUZZY","Animalia","Mollusca","Venerida","Veneridae","Chamelea","Chamelea gallina",1,52,137,9310756,3445,2287704,2287705,"Bivalvia",NA,NA,"Chamellea gallina",18
2392679,"Dentex dentex (Linnaeus, 1758)","Dentex dentex","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Dentex","Dentex dentex",1,44,NA,587,5068,2374819,2392679,NA,NA,NA,"Dentex dentex",19
2392664,"Dentex gibbosus (Rafinesque, 1810)","Dentex gibbosus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Dentex","Dentex gibbosus",1,44,NA,587,5068,2374819,2392664,NA,NA,NA,"Dentex gibbosus",20
2392672,"Dentex macrophthalmus (Bloch, 1791)","Dentex macrophthalmus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Dentex","Dentex macrophthalmus",1,44,NA,587,5068,2374819,2392672,NA,NA,NA,"Dentex macrophthalmus",21
2394622,"Dicentrarchus labrax (Linnaeus, 1758)","Dicentrarchus labrax","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax",1,44,NA,587,8545,2394621,2394622,NA,NA,NA,"Dicentrarchus labrax",22
5210983,"Diplodus annularis (Linnaeus, 1758)","Diplodus annularis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Diplodus","Diplodus annularis",1,44,NA,587,5068,2392461,5210983,NA,NA,NA,"Diplodus annularis",23
9777888,"Diplodus puntazzo (Walbaum, 1792)","Diplodus puntazzo","SPECIES","ACCEPTED",97,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Diplodus","Diplodus puntazzo",1,44,NA,587,5068,2392461,9777888,NA,NA,NA,"Diplodus puntazzo",24
5210968,"Diplodus sargus (Linnaeus, 1758)","Diplodus sargus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Diplodus","Diplodus sargus",1,44,NA,587,5068,2392461,5210968,NA,NA,NA,"Diplodus sargus",25
5210979,"Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817)","Diplodus vulgaris","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Diplodus","Diplodus vulgaris",1,44,NA,587,5068,2392461,5210979,NA,NA,NA,"Diplodus vulgaris",26
5729032,"Donax trunculus Linnaeus, 1758","Donax trunculus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Cardiida","Donacidae","Donax","Donax trunculus",1,52,137,9529005,6853,2287060,5729032,"Bivalvia",NA,NA,"Donax trunculus",27
2287837,"Dosinia exoleta (Linnaeus, 1758)","Dosinia exoleta","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Venerida","Veneridae","Dosinia","Dosinia exoleta",1,52,137,9310756,3445,2287833,2287837,"Bivalvia",NA,NA,"Dosinia exoleta",28
2414031,"Engraulis encrasicolus (Linnaeus, 1758)","Engraulis encrasicolus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus",1,44,NA,538,7334,2352080,2414031,NA,NA,NA,"Engraulis encrasicolus",29
2388415,"Epinephelus aeneus (Geoffroy Saint-Hilaire, 1817)","Epinephelus aeneus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Serranidae","Epinephelus","Epinephelus aeneus",1,44,NA,587,8597,2335319,2388415,NA,NA,NA,"Epinephelus aeneus",30
2388133,"Epinephelus caninus (Valenciennes, 1843)","Epinephelus caninus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Serranidae","Epinephelus","Epinephelus caninus",1,44,NA,587,8597,2335319,2388133,NA,NA,NA,"Epinephelus caninus",31
